Row,Error,Row Data
4,"duplicate key value violates unique constraint ""data_management_transact_username_event_create_da_920ae5b2_uniq""
DETAIL:  Key (username, event, create_date, amount)=(805ram, Withdraw, 2025-07-13 00:13:00+00, 1300.00) already exists.
","{'No': 3, 'CREATE DATE': '13/07/2025 0:13', 'USERNAME': '805ram', 'EVENT': 'Withdraw', 'PROCESS DATE': '13/07/2025 0:15', 'PROCESS BY': 'jefri@xpukul69', 'AMOUNT': '1300'}"
5,"duplicate key value violates unique constraint ""data_management_transact_username_event_create_da_920ae5b2_uniq""
DETAIL:  Key (username, event, create_date, amount)=(805ram, Withdraw, 2025-07-14 00:13:00+00, 1300.00) already exists.
","{'No': 3, 'CREATE DATE': '14/07/2025 0:13', 'USERNAME': '805ram', 'EVENT': 'Withdraw', 'PROCESS DATE': '14/07/2025 0:15', 'PROCESS BY': 'jefri@xpukul69', 'AMOUNT': '1300'}"
