Row,Error,Row Data
20,Invalid date format for CREATE DATE at row 20: 22-07-2025 22:37:57,"{'Unnamed: 0': nan, 'No': 19, 'CREATE DATE': '22-07-2025 22:37:57', 'USERNAME': 'herwandi', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:38:26', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '100.00'}"
21,Invalid date format for CREATE DATE at row 21: 22-07-2025 22:36:36,"{'Unnamed: 0': nan, 'No': 20, 'CREATE DATE': '22-07-2025 22:36:36', 'USERNAME': 'gali12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:38:05', 'PROCESS BY': 'xpukul69', 'AMOUNT': '25.00'}"
22,Invalid date format for CREATE DATE at row 22: 22-07-2025 22:33:50,"{'Unnamed: 0': nan, 'No': 21, 'CREATE DATE': '22-07-2025 22:33:50', 'USERNAME': 'nengjp27', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:35:19', 'PROCESS BY': 'xpukul69', 'AMOUNT': '24.00'}"
23,Invalid date format for CREATE DATE at row 23: 22-07-2025 22:32:31,"{'Unnamed: 0': nan, 'No': 22, 'CREATE DATE': '22-07-2025 22:32:31', 'USERNAME': 'dhs2025', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:33:26', 'PROCESS BY': 'xpukul69', 'AMOUNT': '25.00'}"
24,Invalid date format for CREATE DATE at row 24: 22-07-2025 22:28:49,"{'Unnamed: 0': nan, 'No': 23, 'CREATE DATE': '22-07-2025 22:28:49', 'USERNAME': 'utomo07', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:29:32', 'PROCESS BY': 'xpukul69', 'AMOUNT': '100.00'}"
25,Invalid date format for CREATE DATE at row 25: 22-07-2025 22:26:01,"{'Unnamed: 0': nan, 'No': 24, 'CREATE DATE': '22-07-2025 22:26:01', 'USERNAME': 'masukan18', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:27:01', 'PROCESS BY': 'xpukul69', 'AMOUNT': '60.00'}"
26,Invalid date format for CREATE DATE at row 26: 22-07-2025 22:22:15,"{'Unnamed: 0': nan, 'No': 25, 'CREATE DATE': '22-07-2025 22:22:15', 'USERNAME': 'deddar150', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:22:56', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
27,Invalid date format for CREATE DATE at row 27: 22-07-2025 22:22:05,"{'Unnamed: 0': nan, 'No': 26, 'CREATE DATE': '22-07-2025 22:22:05', 'USERNAME': 'herwandi', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:22:36', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '50.00'}"
28,Invalid date format for CREATE DATE at row 28: 22-07-2025 22:18:21,"{'Unnamed: 0': nan, 'No': 27, 'CREATE DATE': '22-07-2025 22:18:21', 'USERNAME': 'tukangpukulgacor', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:19:50', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
29,Invalid date format for CREATE DATE at row 29: 22-07-2025 22:18:08,"{'Unnamed: 0': nan, 'No': 28, 'CREATE DATE': '22-07-2025 22:18:08', 'USERNAME': 'baimkoteh', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:18:33', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '45.00'}"
30,Invalid date format for CREATE DATE at row 30: 22-07-2025 22:16:54,"{'Unnamed: 0': nan, 'No': 29, 'CREATE DATE': '22-07-2025 22:16:54', 'USERNAME': 'ardian55', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:17:28', 'PROCESS BY': 'xpukul69', 'AMOUNT': '100.00'}"
