Row,Error,Row Data
2,"duplicate key value violates unique constraint ""data_management_transact_username_event_create_da_920ae5b2_uniq""
DETAIL:  Key (username, event, create_date, amount)=(MDrahmathidayat2, Manual Deposit, 2025-03-07 23:58:59+00, 25.00) already exists.
","{'USERNAME': 'MDrahmathidayat2', 'CREATE DATE': '03-07-2025 23:58:59', 'EVENT': 'Deposit', 'PROCESS DATE': '03-07-2025 23:59:18', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 25.0}"
3,"duplicate key value violates unique constraint ""data_management_transact_username_event_create_da_920ae5b2_uniq""
DETAIL:  Key (username, event, create_date, amount)=(MDyanntt12345, Manual Deposit, 2025-03-07 23:54:25+00, 50.00) already exists.
","{'USERNAME': 'MDyanntt12345', 'CREATE DATE': '3/07/2025 23:54:25', 'EVENT': 'Deposit', 'PROCESS DATE': '3/07/2025 23:54:25', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50.0}"
4,"duplicate key value violates unique constraint ""data_management_transact_username_event_create_da_920ae5b2_uniq""
DETAIL:  Key (username, event, create_date, amount)=(MDjojott03, Manual Deposit, 2025-03-07 23:58:59+00, 150.00) already exists.
","{'USERNAME': 'MDjojott03', 'CREATE DATE': '3/07/2025 11:58:59 PM', 'EVENT': 'Deposit', 'PROCESS DATE': '3/07/2025 11:58:59 PM', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 150.0}"
