Row,Error,Row Data
2,module 'django.utils.timezone' has no attribute 'utc',"{'USERNAME': 'rahmathidayat2', 'CREATE DATE': '03-07-2025 23:58:59', 'EVENT': 'Deposit', 'PROCESS DATE': '03-07-2025 23:59:18', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 25.0}"
3,module 'django.utils.timezone' has no attribute 'utc',"{'USERNAME': 'yanntt12345', 'CREATE DATE': '3/07/2025 23:54:25', 'EVENT': 'Deposit', 'PROCESS DATE': '3/07/2025 23:54:25', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50.0}"
4,module 'django.utils.timezone' has no attribute 'utc',"{'USERNAME': 'jojott03', 'CREATE DATE': '3/07/2025 11:58:59 PM', 'EVENT': 'Deposit', 'PROCESS DATE': '3/07/2025 11:58:59 PM', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 150.0}"
